,UIDs,SMILES,Kmeans Class,Hierarchal Class
0,430,C1=CCC(=O)C=C1,2,0
1,428,c1ccc(cc1)O,2,0
2,431,C1=CCC(=O)C=C1,2,0
3,429,c1ccc(cc1)O,2,0
4,432,C1=CCC(=C[CH]1)O,2,0
5,493,c12c(CC=C1)cccc2,2,0
6,495,c12c([CH]C[CH]1)cccc2,2,0
7,485,c12c(cccn1)cccc2,2,0
8,483,c12c(ccnc1)cccc2,2,0
9,494,c12c(C=CC1)cccc2,2,0
10,496,c12c([CH]C[CH]1)cccc2,2,0
11,486,c12c(cccn1)cccc2,2,0
12,484,c12c(ccnc1)cccc2,2,0
13,382,c12c(cccc1)cccc2,2,0
14,383,c12c([CH]C=CC1)cccc2,2,0
15,384,c12c(C=CC[CH]1)cccc2,2,0
16,511,c12c(c[c]cc1)cccc2,2,0
17,509,c12c(cccc1)ccc[c]2,2,0
18,523,c12c(ccc(c1)[O])cccc2,2,0
19,426,c12c(C(=O)C=CC1=O)cccc2,2,0
20,330,c12c(cccc1)cccc2,2,0
21,376,c12c(C=CC[CH]1)cccc2,2,0
22,527,c12c(ccc(c1)[NH])cccc2,2,0
23,499,c12c(cccc1O)cccc2,2,0
24,497,c12c(ccc(c1)O)cccc2,2,0
25,375,c12c([CH]C=CC1)cccc2,2,0
26,475,c12c(cccc1N)cccc2,2,0
27,473,c12c(ccc(c1)N)cccc2,2,0
28,424,c12c(C(=O)CCC1=O)cccc2,2,0
29,422,c12c(cccc1O)cc(cc2)O,2,0
30,420,c12c(cccc1O)c(ccc2)O,2,0
31,418,c12c(c(ccc1O)O)cccc2,2,0
32,331,c12c(C=CCC1)cccc2,2,0
33,410,c12c(ccc(c1)O)[CH]C=C[C@@H]2O,2,0
34,409,c12c(cc(cc1)O)[CH][C@@H](C=C2)O,2,0
35,408,c12c(ccc(c1)O)[CH][C@@H](C=C2)O,2,0
36,407,c12c(ccc(c1)O)[C@@H](C=C[CH]2)O,2,0
37,406,c12c([C@H](C=C([CH]1)O)O)cccc2,2,0
38,405,c12c(C=C([C@@H]([CH]1)O)O)cccc2,2,0
39,404,c12c([CH]C=C([C@H]1O)O)cccc2,2,0
40,403,c12c(cccc1O)[CH]C=C[C@@H]2O,2,0
41,402,c12c(cccc1O)[CH][C@@H](C=C2)O,2,0
42,401,c12c(cccc1O)[C@@H](C=C[CH]2)O,2,0
43,400,c12c([CH][C@H](C=C1O)O)cccc2,2,0
44,399,c12c(C=C[C@H]([C]1O)O)cccc2,2,0
45,332,c12c(CCCC1)cccc2,2,0
46,333,C12=C(CCCC1)CCCC2,2,0
47,353,[C@H]12[C@@H](CCCC1)CCCC2,2,0
48,352,[C@H]12[C@H](CCCC1)CCCC2,2,0
49,512,c12c(c[c]cc1)cccc2,2,0
50,510,c12c(cccc1)ccc[c]2,2,0
51,524,c12c(C=CC(=O)[CH]1)cccc2,2,0
52,427,c12c(C(=O)C=CC1=O)cccc2,2,0
53,359,c12c(cccc1)cccc2,2,0
54,528,c12c(ccc(c1)[NH])cccc2,2,0
55,500,c12c(cccc1O)cccc2,2,0
56,498,c12c(ccc(c1)O)cccc2,2,0
57,14,c12c(C=CC[CH]1)cccc2,2,0
58,13,c12c([CH]C=CC1)cccc2,2,0
59,476,c12c(cccc1N)cccc2,2,0
60,474,c12c(ccc(c1)N)cccc2,2,0
61,425,c12c(C(=O)CCC1=O)cccc2,2,0
62,423,c12c(cccc1O)cc(cc2)O,2,0
63,421,c12c(cccc1O)c(ccc2)O,2,0
64,419,c12c(c(ccc1O)O)cccc2,2,0
65,12,c12c(C=CCC1)cccc2,2,0
66,417,c12c(ccc(c1)O)[CH]C=C[C@@H]2O,2,0
67,416,C12=CCC(=C[C]1CC(=O)C=C2)O,2,0
68,415,c12c(ccc(c1)O)[CH][C@@H](C=C2)O,2,0
69,414,c12c(ccc(c1)O)[C@@H](C=C[CH]2)O,2,0
70,413,c12c([C@H](C=C([CH]1)O)O)cccc2,2,0
71,412,c12c(cccc1O)C=C[C@@H]([CH]2)O,2,0
72,411,c12c(C=C[C@H]([C]1O)O)cccc2,2,0
73,16,c12c(C[CH]CC1)cccc2,2,0
74,15,c12c([CH]CCC1)cccc2,2,0
75,17,c12c(CCCC1)cccc2,2,0
76,529,c12c(ccc(c1)[C]=O)cccc2,2,0
77,525,c12c(ccc(c1)[CH])cccc2,2,0
78,465,c12c(cccc1C#N)cccc2,2,0
79,463,c12c(ccc(c1)C#N)cccc2,2,0
80,521,c12c(ccc(c1)[CH2])cccc2,2,0
81,519,c1(cccc2c1cccc2)[CH2],2,0
82,503,c12c(cccc1C=O)cccc2,2,0
83,501,c12c(ccc(c1)C=O)cccc2,2,0
84,531,c12c(C=C/C(=C/O)/C1)cccc2,2,0
85,322,c12c(ccc(c1)C)cccc2,2,0
86,320,c1(cccc2c1cccc2)C,2,0
87,507,c12c(cccc1CO)cccc2,2,0
88,505,c12c(ccc(c1)CO)cccc2,2,0
89,530,c12c(ccc(c1)[C][O])cccc2,2,0
90,526,c12c(ccc(c1)[CH])cccc2,2,0
91,466,c12c(cccc1C#N)cccc2,2,0
